item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
9606.ENSP00000000233	9606.ENSP00000215659	binding		f	t	156
9606.ENSP00000000233	9606.ENSP00000215659	activation	activation	f	f	157
9606.ENSP00000000233	9606.ENSP00000215659	binding		f	f	156
9606.ENSP00000000233	9606.ENSP00000215659	reaction		t	f	156
9606.ENSP00000000233	9606.ENSP00000215659	inhibition	inhibition	f	t	150
9606.ENSP00000000233	9606.ENSP00000215659	catalysis		t	t	156
9606.ENSP00000000233	9606.ENSP00000215659	inhibition	inhibition	f	f	150
9606.ENSP00000000233	9606.ENSP00000215659	reaction		f	f	156
9606.ENSP00000000233	9606.ENSP00000215659	inhibition	inhibition	t	t	154
9606.ENSP00000000233	9606.ENSP00000215659	ptmod		f	f	150
9606.ENSP00000000233	9606.ENSP00000216373	binding		f	t	173
9606.ENSP00000000233	9606.ENSP00000215832	inhibition	inhibition	f	t	150
9606.ENSP00000000233	9606.ENSP00000215832	binding		f	t	156
9606.ENSP00000000233	9606.ENSP00000215832	activation	activation	f	f	157
9606.ENSP00000000233	9606.ENSP00000215832	binding		f	f	156
9606.ENSP00000000233	9606.ENSP00000215832	inhibition	inhibition	f	f	150
9606.ENSP00000000233	9606.ENSP00000215832	catalysis		t	f	156
9606.ENSP00000000233	9606.ENSP00000215832	catalysis		t	t	156
9606.ENSP00000000233	9606.ENSP00000216373	binding		f	f	173
9606.ENSP00000000233	9606.ENSP00000215832	reaction		f	f	156
9606.ENSP00000000233	9606.ENSP00000215832	inhibition	inhibition	t	t	154
9606.ENSP00000000233	9606.ENSP00000215832	ptmod		f	f	150
9606.ENSP00000000233	9606.ENSP00000216373	activation	activation	f	f	173
9606.ENSP00000000233	9606.ENSP00000215832	reaction		t	f	156
9606.ENSP00000000233	9606.ENSP00000215832	reaction		t	t	156
9606.ENSP00000000233	9606.ENSP00000250971	reaction		f	f	900
9606.ENSP00000000233	9606.ENSP00000230449	reaction		f	f	169
9606.ENSP00000000233	9606.ENSP00000223369	catalysis		t	f	908
9606.ENSP00000000233	9606.ENSP00000219476	activation	activation	t	f	183
9606.ENSP00000000233	9606.ENSP00000219255	binding		f	t	169
9606.ENSP00000000233	9606.ENSP00000217073	binding		f	f	150
9606.ENSP00000000233	9606.ENSP00000216373	reaction		t	f	161
9606.ENSP00000000233	9606.ENSP00000216373	reaction		t	t	161
9606.ENSP00000000233	9606.ENSP00000219255	binding		f	f	169
9606.ENSP00000000233	9606.ENSP00000217073	binding		f	t	150
9606.ENSP00000000233	9606.ENSP00000219255	activation	activation	f	f	173
9606.ENSP00000000233	9606.ENSP00000219409	reaction		t	t	173
9606.ENSP00000000233	9606.ENSP00000219409	binding		f	f	173
9606.ENSP00000000233	9606.ENSP00000219255	reaction		f	f	165
9606.ENSP00000000233	9606.ENSP00000219409	activation	activation	f	f	169
9606.ENSP00000000233	9606.ENSP00000219409	reaction		t	f	173
9606.ENSP00000000233	9606.ENSP00000219409	binding		f	t	173
9606.ENSP00000000233	9606.ENSP00000219409	reaction		f	f	173
9606.ENSP00000000233	9606.ENSP00000223369	binding		f	t	908
9606.ENSP00000000233	9606.ENSP00000222547	binding		f	f	924
9606.ENSP00000000233	9606.ENSP00000221138	catalysis		t	f	155
9606.ENSP00000000233	9606.ENSP00000219476	inhibition	inhibition	f	f	190
9606.ENSP00000000233	9606.ENSP00000219476	inhibition	inhibition	f	t	190
9606.ENSP00000000233	9606.ENSP00000222345	inhibition	inhibition	t	f	158
9606.ENSP00000000233	9606.ENSP00000222345	activation	activation	f	f	153
9606.ENSP00000000233	9606.ENSP00000222345	catalysis		t	f	158
9606.ENSP00000000233	9606.ENSP00000223369	binding		f	f	908
9606.ENSP00000000233	9606.ENSP00000222547	catalysis		t	t	924
9606.ENSP00000000233	9606.ENSP00000222547	binding		f	t	924
9606.ENSP00000000233	9606.ENSP00000222547	catalysis		t	f	924
9606.ENSP00000000233	9606.ENSP00000222547	reaction		t	t	924
9606.ENSP00000000233	9606.ENSP00000222547	reaction		f	f	924
9606.ENSP00000000233	9606.ENSP00000222547	reaction		t	f	924
9606.ENSP00000000233	9606.ENSP00000230449	binding		f	t	169
9606.ENSP00000000233	9606.ENSP00000229794	activation	activation	f	f	157
9606.ENSP00000000233	9606.ENSP00000228307	catalysis		t	f	153
9606.ENSP00000000233	9606.ENSP00000223369	reaction		t	f	908
9606.ENSP00000000233	9606.ENSP00000223369	catalysis		t	t	908
9606.ENSP00000000233	9606.ENSP00000223369	reaction		f	f	908
9606.ENSP00000000233	9606.ENSP00000225567	binding		f	t	163
9606.ENSP00000000233	9606.ENSP00000223369	reaction		t	t	908
9606.ENSP00000000233	9606.ENSP00000225567	binding		f	f	163
9606.ENSP00000000233	9606.ENSP00000229264	activation	activation	f	f	163
9606.ENSP00000000233	9606.ENSP00000228945	binding		f	t	173
9606.ENSP00000000233	9606.ENSP00000228945	activation	activation	f	f	169
9606.ENSP00000000233	9606.ENSP00000228945	binding		f	f	173
9606.ENSP00000000233	9606.ENSP00000228945	reaction		t	t	173
9606.ENSP00000000233	9606.ENSP00000228945	reaction		f	f	173
9606.ENSP00000000233	9606.ENSP00000228945	reaction		t	f	173
9606.ENSP00000000233	9606.ENSP00000230449	binding		f	f	169
9606.ENSP00000000233	9606.ENSP00000229794	inhibition	inhibition	t	t	154
9606.ENSP00000000233	9606.ENSP00000229794	catalysis		t	f	156
9606.ENSP00000000233	9606.ENSP00000229794	binding		f	f	156
9606.ENSP00000000233	9606.ENSP00000229794	binding		f	t	156
9606.ENSP00000000233	9606.ENSP00000229794	inhibition	inhibition	f	t	150
9606.ENSP00000000233	9606.ENSP00000229794	catalysis		t	t	156
9606.ENSP00000000233	9606.ENSP00000229794	inhibition	inhibition	f	f	150
9606.ENSP00000000233	9606.ENSP00000230449	activation	activation	f	f	169
9606.ENSP00000000233	9606.ENSP00000229794	reaction		t	f	156
9606.ENSP00000000233	9606.ENSP00000229794	ptmod		f	f	150
9606.ENSP00000000233	9606.ENSP00000229794	reaction		f	f	156
9606.ENSP00000000233	9606.ENSP00000229812	binding		f	t	152
9606.ENSP00000000233	9606.ENSP00000229794	reaction		t	t	156
9606.ENSP00000000233	9606.ENSP00000229812	binding		f	f	152
9606.ENSP00000000233	9606.ENSP00000250971	catalysis		t	t	900
9606.ENSP00000000233	9606.ENSP00000248901	binding		f	t	426
9606.ENSP00000000233	9606.ENSP00000240874	binding		f	t	167
9606.ENSP00000000233	9606.ENSP00000238081	catalysis		t	t	159
9606.ENSP00000000233	9606.ENSP00000238081	activation	activation	f	f	163
9606.ENSP00000000233	9606.ENSP00000232461	activation	activation	f	f	152
9606.ENSP00000000233	9606.ENSP00000232564	activation	activation	f	f	163
9606.ENSP00000000233	9606.ENSP00000238081	catalysis		t	f	159
9606.ENSP00000000233	9606.ENSP00000238081	binding		f	f	161
9606.ENSP00000000233	9606.ENSP00000238081	binding		f	t	161
9606.ENSP00000000233	9606.ENSP00000240874	binding		f	f	167
9606.ENSP00000000233	9606.ENSP00000238081	reaction		f	f	159
9606.ENSP00000000233	9606.ENSP00000238081	inhibition	inhibition	t	f	159
9606.ENSP00000000233	9606.ENSP00000238081	inhibition	inhibition	t	t	158
9606.ENSP00000000233	9606.ENSP00000240139	catalysis		t	f	155
9606.ENSP00000000233	9606.ENSP00000238081	reaction		t	f	159
9606.ENSP00000000233	9606.ENSP00000238081	reaction		t	t	159
9606.ENSP00000000233	9606.ENSP00000248901	binding		f	f	426
9606.ENSP00000000233	9606.ENSP00000245796	binding		f	f	150
9606.ENSP00000000233	9606.ENSP00000240874	reaction		t	f	167
9606.ENSP00000000233	9606.ENSP00000240874	catalysis		t	f	169
9606.ENSP00000000233	9606.ENSP00000240874	reaction		f	f	167
9606.ENSP00000000233	9606.ENSP00000245787	binding		f	t	171
9606.ENSP00000000233	9606.ENSP00000240874	reaction		t	t	167
9606.ENSP00000000233	9606.ENSP00000245787	binding		f	f	171
9606.ENSP00000000233	9606.ENSP00000248901	activation	activation	f	f	472
9606.ENSP00000000233	9606.ENSP00000245796	catalysis		t	t	150
9606.ENSP00000000233	9606.ENSP00000245796	binding		f	t	150
9606.ENSP00000000233	9606.ENSP00000245796	catalysis		t	f	150
9606.ENSP00000000233	9606.ENSP00000245796	reaction		t	t	150
9606.ENSP00000000233	9606.ENSP00000245796	reaction		f	f	150
9606.ENSP00000000233	9606.ENSP00000245796	reaction		t	f	150
9606.ENSP00000000233	9606.ENSP00000250971	catalysis		t	f	900
9606.ENSP00000000233	9606.ENSP00000248975	reaction		t	t	159
9606.ENSP00000000233	9606.ENSP00000248975	binding		f	f	161
9606.ENSP00000000233	9606.ENSP00000248901	reaction		f	f	426
9606.ENSP00000000233	9606.ENSP00000248901	catalysis		t	f	426
9606.ENSP00000000233	9606.ENSP00000248901	catalysis		t	t	426
9606.ENSP00000000233	9606.ENSP00000248975	activation	activation	f	f	163
9606.ENSP00000000233	9606.ENSP00000248901	reaction		t	f	426
9606.ENSP00000000233	9606.ENSP00000248901	reaction		t	t	426
9606.ENSP00000000233	9606.ENSP00000248975	reaction		t	f	159
9606.ENSP00000000233	9606.ENSP00000248975	catalysis		t	t	159
9606.ENSP00000000233	9606.ENSP00000248975	binding		f	t	161
9606.ENSP00000000233	9606.ENSP00000248975	catalysis		t	f	159
9606.ENSP00000000233	9606.ENSP00000248975	reaction		f	f	159
9606.ENSP00000000233	9606.ENSP00000248975	inhibition	inhibition	t	f	159
9606.ENSP00000000233	9606.ENSP00000248975	inhibition	inhibition	t	t	158
9606.ENSP00000000233	9606.ENSP00000250971	binding		f	t	900
9606.ENSP00000000233	9606.ENSP00000249923	reaction		t	f	926
9606.ENSP00000000233	9606.ENSP00000249923	binding		f	t	926
9606.ENSP00000000233	9606.ENSP00000248996	activation	activation	f	f	152
9606.ENSP00000000233	9606.ENSP00000249923	binding		f	f	926
9606.ENSP00000000233	9606.ENSP00000249923	reaction		f	f	926
9606.ENSP00000000233	9606.ENSP00000249923	catalysis		t	f	926
9606.ENSP00000000233	9606.ENSP00000249923	catalysis		t	t	926
9606.ENSP00000000233	9606.ENSP00000250971	binding		f	f	900
9606.ENSP00000000233	9606.ENSP00000250244	binding		f	t	293
9606.ENSP00000000233	9606.ENSP00000249923	reaction		t	t	926
9606.ENSP00000000233	9606.ENSP00000250244	binding		f	f	293
9606.ENSP00000000233	9606.ENSP00000250244	reaction		t	t	293
9606.ENSP00000000233	9606.ENSP00000250244	reaction		f	f	293
9606.ENSP00000000233	9606.ENSP00000250244	reaction		t	f	293
9606.ENSP00000000233	9606.ENSP00000254878	binding		f	t	175
9606.ENSP00000000233	9606.ENSP00000251849	catalysis		t	f	165
9606.ENSP00000000233	9606.ENSP00000251849	reaction		t	t	165
9606.ENSP00000000233	9606.ENSP00000260404	reaction		t	f	163
9606.ENSP00000000233	9606.ENSP00000253339	binding		f	f	152
9606.ENSP00000000233	9606.ENSP00000251849	reaction		t	f	165
9606.ENSP00000000233	9606.ENSP00000251337	activation	activation	f	f	152
9606.ENSP00000000233	9606.ENSP00000251849	binding		f	t	165
9606.ENSP00000000233	9606.ENSP00000251849	binding		f	f	165
9606.ENSP00000000233	9606.ENSP00000251849	activation	activation	f	f	167
9606.ENSP00000000233	9606.ENSP00000251849	activation	activation	t	f	155
9606.ENSP00000000233	9606.ENSP00000254878	binding		f	f	175
9606.ENSP00000000233	9606.ENSP00000253401	activation	activation	f	f	171
9606.ENSP00000000233	9606.ENSP00000251849	reaction		f	f	165
9606.ENSP00000000233	9606.ENSP00000251849	catalysis		t	t	165
9606.ENSP00000000233	9606.ENSP00000251849	ptmod		f	f	157
9606.ENSP00000000233	9606.ENSP00000253339	binding		f	t	152
9606.ENSP00000000233	9606.ENSP00000251849	inhibition	inhibition	t	t	165
9606.ENSP00000000233	9606.ENSP00000251849	inhibition	inhibition	t	f	165
9606.ENSP00000000233	9606.ENSP00000254695	inhibition	inhibition	t	f	158
9606.ENSP00000000233	9606.ENSP00000254584	binding		f	f	169
9606.ENSP00000000233	9606.ENSP00000253401	catalysis		t	f	171
9606.ENSP00000000233	9606.ENSP00000253754	catalysis		t	f	153
9606.ENSP00000000233	9606.ENSP00000254695	catalysis		t	f	158
9606.ENSP00000000233	9606.ENSP00000254584	binding		f	t	169
9606.ENSP00000000233	9606.ENSP00000254695	activation	activation	f	f	153
9606.ENSP00000000233	9606.ENSP00000260404	reaction		f	f	163
9606.ENSP00000000233	9606.ENSP00000256682	catalysis		t	f	900
9606.ENSP00000000233	9606.ENSP00000255194	reaction		t	t	163
9606.ENSP00000000233	9606.ENSP00000255194	catalysis		t	f	163
9606.ENSP00000000233	9606.ENSP00000255194	binding		f	f	163
9606.ENSP00000000233	9606.ENSP00000255194	binding		f	t	163
9606.ENSP00000000233	9606.ENSP00000255194	reaction		t	f	163
9606.ENSP00000000233	9606.ENSP00000255194	catalysis		t	t	163
9606.ENSP00000000233	9606.ENSP00000255194	reaction		f	f	163
9606.ENSP00000000233	9606.ENSP00000256658	reaction		t	t	224
9606.ENSP00000000233	9606.ENSP00000256658	catalysis		t	f	163
9606.ENSP00000000233	9606.ENSP00000256658	binding		f	f	224
9606.ENSP00000000233	9606.ENSP00000256658	binding		f	t	224
9606.ENSP00000000233	9606.ENSP00000256658	reaction		t	f	224
9606.ENSP00000000233	9606.ENSP00000256658	catalysis		t	t	163
9606.ENSP00000000233	9606.ENSP00000256658	reaction		f	f	224
9606.ENSP00000000233	9606.ENSP00000260404	catalysis		t	t	163
9606.ENSP00000000233	9606.ENSP00000258739	catalysis		t	t	909
9606.ENSP00000000233	9606.ENSP00000256682	reaction		t	t	900
9606.ENSP00000000233	9606.ENSP00000256682	catalysis		t	t	900
9606.ENSP00000000233	9606.ENSP00000256682	reaction		t	f	900
9606.ENSP00000000233	9606.ENSP00000258739	catalysis		t	f	909
9606.ENSP00000000233	9606.ENSP00000258739	binding		f	f	909
9606.ENSP00000000233	9606.ENSP00000258739	binding		f	t	909
9606.ENSP00000000233	9606.ENSP00000260404	catalysis		t	f	163
9606.ENSP00000000233	9606.ENSP00000258739	reaction		t	t	909
9606.ENSP00000000233	9606.ENSP00000258739	reaction		f	f	909
9606.ENSP00000000233	9606.ENSP00000258739	reaction		t	f	909
9606.ENSP00000000233	9606.ENSP00000260404	binding		f	t	163
9606.ENSP00000000233	9606.ENSP00000260404	activation	activation	f	f	163
9606.ENSP00000000233	9606.ENSP00000260404	binding		f	f	163
9606.ENSP00000000233	9606.ENSP00000262305	binding		f	t	371
9606.ENSP00000000233	9606.ENSP00000261890	binding		f	f	405
9606.ENSP00000000233	9606.ENSP00000261842	binding		f	t	224
9606.ENSP00000000233	9606.ENSP00000261722	binding		f	f	163
9606.ENSP00000000233	9606.ENSP00000261558	binding		f	t	181
9606.ENSP00000000233	9606.ENSP00000260404	reaction		t	t	163
9606.ENSP00000000233	9606.ENSP00000261558	binding		f	f	181
9606.ENSP00000000233	9606.ENSP00000261558	reaction		t	t	181
9606.ENSP00000000233	9606.ENSP00000261558	reaction		f	f	181
9606.ENSP00000000233	9606.ENSP00000261558	reaction		t	f	181
9606.ENSP00000000233	9606.ENSP00000261842	binding		f	f	224
9606.ENSP00000000233	9606.ENSP00000261722	catalysis		t	t	163
9606.ENSP00000000233	9606.ENSP00000261722	binding		f	t	163
9606.ENSP00000000233	9606.ENSP00000261722	catalysis		t	f	163
9606.ENSP00000000233	9606.ENSP00000261722	reaction		t	t	163
9606.ENSP00000000233	9606.ENSP00000261722	reaction		f	f	163
9606.ENSP00000000233	9606.ENSP00000261722	reaction		t	f	163
9606.ENSP00000000233	9606.ENSP00000261845	reaction		t	t	156
9606.ENSP00000000233	9606.ENSP00000261845	catalysis		t	f	156
9606.ENSP00000000233	9606.ENSP00000261842	reaction		t	t	224
9606.ENSP00000000233	9606.ENSP00000261842	reaction		f	f	224
9606.ENSP00000000233	9606.ENSP00000261842	reaction		t	f	224
9606.ENSP00000000233	9606.ENSP00000261845	binding		f	t	156
9606.ENSP00000000233	9606.ENSP00000261845	activation	activation	f	f	157
9606.ENSP00000000233	9606.ENSP00000261845	binding		f	f	156
9606.ENSP00000000233	9606.ENSP00000261845	reaction		t	f	156
9606.ENSP00000000233	9606.ENSP00000261845	inhibition	inhibition	f	t	150
9606.ENSP00000000233	9606.ENSP00000261845	catalysis		t	t	156
9606.ENSP00000000233	9606.ENSP00000261845	inhibition	inhibition	f	f	150
9606.ENSP00000000233	9606.ENSP00000261845	reaction		f	f	156
9606.ENSP00000000233	9606.ENSP00000261845	inhibition	inhibition	t	t	154
9606.ENSP00000000233	9606.ENSP00000261845	ptmod		f	f	150
9606.ENSP00000000233	9606.ENSP00000262305	binding		f	f	371
9606.ENSP00000000233	9606.ENSP00000262061	reaction		t	f	933
9606.ENSP00000000233	9606.ENSP00000262039	activation	activation	f	f	151
9606.ENSP00000000233	9606.ENSP00000261890	catalysis		t	t	153
9606.ENSP00000000233	9606.ENSP00000261890	binding		f	t	405
9606.ENSP00000000233	9606.ENSP00000261890	catalysis		t	f	153
9606.ENSP00000000233	9606.ENSP00000261890	reaction		t	t	153
9606.ENSP00000000233	9606.ENSP00000261890	reaction		f	f	153
9606.ENSP00000000233	9606.ENSP00000261890	reaction		t	f	153
9606.ENSP00000000233	9606.ENSP00000262061	reaction		f	f	933
9606.ENSP00000000233	9606.ENSP00000262061	binding		f	f	933
9606.ENSP00000000233	9606.ENSP00000262039	binding		f	f	150
9606.ENSP00000000233	9606.ENSP00000262039	binding		f	t	150
9606.ENSP00000000233	9606.ENSP00000262061	catalysis		t	t	933
9606.ENSP00000000233	9606.ENSP00000262061	binding		f	t	933
9606.ENSP00000000233	9606.ENSP00000262061	catalysis		t	f	933
9606.ENSP00000000233	9606.ENSP00000262225	reaction		t	t	906
9606.ENSP00000000233	9606.ENSP00000262215	reaction		t	f	237
9606.ENSP00000000233	9606.ENSP00000262215	binding		f	t	237
9606.ENSP00000000233	9606.ENSP00000262061	reaction		t	t	933
9606.ENSP00000000233	9606.ENSP00000262215	binding		f	f	237
9606.ENSP00000000233	9606.ENSP00000262215	reaction		f	f	237
9606.ENSP00000000233	9606.ENSP00000262215	catalysis		t	f	237
9606.ENSP00000000233	9606.ENSP00000262215	catalysis		t	t	237
9606.ENSP00000000233	9606.ENSP00000262225	reaction		t	f	906
9606.ENSP00000000233	9606.ENSP00000262225	binding		f	t	906
9606.ENSP00000000233	9606.ENSP00000262215	reaction		t	t	237
9606.ENSP00000000233	9606.ENSP00000262225	binding		f	f	906
9606.ENSP00000000233	9606.ENSP00000262225	reaction		f	f	906
9606.ENSP00000000233	9606.ENSP00000262225	catalysis		t	f	906
9606.ENSP00000000233	9606.ENSP00000262225	catalysis		t	t	906
9606.ENSP00000000412	9606.ENSP00000227378	binding		f	t	900
9606.ENSP00000000412	9606.ENSP00000223023	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000223023	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000227378	binding		f	f	900
9606.ENSP00000000412	9606.ENSP00000223023	reaction		f	f	900
9606.ENSP00000000412	9606.ENSP00000223023	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000223023	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000223023	binding		f	f	900
9606.ENSP00000000412	9606.ENSP00000223023	binding		f	t	900
9606.ENSP00000000412	9606.ENSP00000221957	reaction		f	f	900
9606.ENSP00000000412	9606.ENSP00000221957	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000054666	binding		f	t	901
9606.ENSP00000000412	9606.ENSP00000005340	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000003084	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000003084	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000005340	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000003084	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000003084	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000054666	binding		f	f	901
9606.ENSP00000000412	9606.ENSP00000011653	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000005340	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000005340	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000011653	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000011653	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000011653	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000221957	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000217131	binding		f	t	901
9606.ENSP00000000412	9606.ENSP00000054666	reaction		f	f	901
9606.ENSP00000000412	9606.ENSP00000054666	catalysis		t	f	901
9606.ENSP00000000412	9606.ENSP00000054666	catalysis		t	t	901
9606.ENSP00000000412	9606.ENSP00000217131	binding		f	f	901
9606.ENSP00000000412	9606.ENSP00000054666	reaction		t	f	901
9606.ENSP00000000412	9606.ENSP00000054666	reaction		t	t	901
9606.ENSP00000000412	9606.ENSP00000221957	binding		f	t	900
9606.ENSP00000000412	9606.ENSP00000217131	reaction		f	f	901
9606.ENSP00000000412	9606.ENSP00000217131	catalysis		t	f	901
9606.ENSP00000000412	9606.ENSP00000217131	catalysis		t	t	901
9606.ENSP00000000412	9606.ENSP00000221957	binding		f	f	900
9606.ENSP00000000412	9606.ENSP00000217131	reaction		t	f	901
9606.ENSP00000000412	9606.ENSP00000217131	reaction		t	t	901
9606.ENSP00000000412	9606.ENSP00000222219	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000222219	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000222219	binding		f	t	900
9606.ENSP00000000412	9606.ENSP00000222219	reaction		f	f	900
9606.ENSP00000000412	9606.ENSP00000222219	binding		f	f	900
9606.ENSP00000000412	9606.ENSP00000221957	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000221957	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000227378	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000222219	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000222219	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000227378	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000227378	reaction		f	f	900
9606.ENSP00000000412	9606.ENSP00000227378	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000227378	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000228825	reaction		t	f	901
9606.ENSP00000000412	9606.ENSP00000247138	binding		f	t	416
9606.ENSP00000000412	9606.ENSP00000228825	reaction		f	f	901
9606.ENSP00000000412	9606.ENSP00000228825	catalysis		t	t	901
9606.ENSP00000000412	9606.ENSP00000228825	catalysis		t	f	901
9606.ENSP00000000412	9606.ENSP00000228825	binding		f	f	901
9606.ENSP00000000412	9606.ENSP00000228825	binding		f	t	901
9606.ENSP00000000412	9606.ENSP00000247138	binding		f	f	416
9606.ENSP00000000412	9606.ENSP00000242285	reaction		t	f	901
9606.ENSP00000000412	9606.ENSP00000236192	catalysis		t	t	901
9606.ENSP00000000412	9606.ENSP00000233242	catalysis		t	t	900
9606.ENSP00000000412	9606.ENSP00000228825	reaction		t	t	901
9606.ENSP00000000412	9606.ENSP00000233242	catalysis		t	f	900
9606.ENSP00000000412	9606.ENSP00000236192	catalysis		t	f	901
9606.ENSP00000000412	9606.ENSP00000233242	reaction		t	f	900
9606.ENSP00000000412	9606.ENSP00000233242	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000242285	reaction		f	f	901
9606.ENSP00000000412	9606.ENSP00000242285	binding		f	f	901
9606.ENSP00000000412	9606.ENSP00000236192	reaction		t	f	901
9606.ENSP00000000412	9606.ENSP00000236192	reaction		t	t	901
9606.ENSP00000000412	9606.ENSP00000242285	catalysis		t	t	901
9606.ENSP00000000412	9606.ENSP00000242285	binding		f	t	901
9606.ENSP00000000412	9606.ENSP00000242285	catalysis		t	f	901
9606.ENSP00000000412	9606.ENSP00000244458	reaction		t	t	900
9606.ENSP00000000412	9606.ENSP00000243298	reaction		t	f	901
